"","democrat","republican","other","state","year","district","democrat_incumbent","democrat_votes","republican_incumbent","republican_votes","other_incumbent","other_votes","gender_dem","gender_rep","winner_party","winner_gender","vote_prop_dem","vote_prop_rep","vote_prop_other"
"1","Scott J. Kawasaki","No candidate","No candidate","Alaska",2016,"1","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"2","Truno Holdaway","Steve M. Thompson","No candidate","Alaska",2016,"2","False",1153,"True",3268,"0",0,"Unknown","male","Republican","male",0.260800723818141,0.739199276181859,0
"3","Christina M. Sinclair","Tammie Wilson","Jeanne Olson","Alaska",2016,"3","False",537,"True",4291,"False",2270,"female","female","Republican","female",0.0756551141166526,0.604536489151874,0.319808396731474
"4","David Guttenberg","No candidate","No candidate","Alaska",2016,"4","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"5","Adam Wool","Aaron Lojewski","No candidate","Alaska",2016,"5","True",3812,"False",3384,"0",0,"male","male","Democrat","male",0.529738743746526,0.470261256253474,0
"6","Jason T. Land","David M. Talerico","No candidate","Alaska",2016,"6","False",2327,"True",5126,"0",0,"male","male","Republican","male",0.312223265799007,0.687776734200993,0
"7","Sherie A. Olson","Colleen Sullivan-Leonard","No candidate","Alaska",2016,"7","False",1573,"False",5293,"0",0,"female","female","Republican","female",0.229099912612875,0.770900087387125,0
"8","Gregory I. Jones","Mark A. Neuman","No candidate","Alaska",2016,"8","False",1268,"True",5753,"0",0,"male","male","Republican","male",0.180601053980914,0.819398946019086,0
"9","No candidate","George Rauscher","Pamela Goode","Alaska",2016,"9","False",0,"False",4758,"False",2816,"N/A","male","Republican","male",0,0.628201742804331,0.371798257195669
"10","Patricia Faye-Brazel","David Eastman","No candidate","Alaska",2016,"10","False",2021,"False",5901,"0",0,"female","male","Republican","male",0.255112345367331,0.744887654632668,0
"11","No candidate","Delena Johnson","Bert Verrall","Alaska",2016,"11","False",0,"False",5752,"False",2681,"N/A","female","Republican","female",0,0.682082295742915,0.317917704257085
"12","Gretchen L. Wehmhoff","Cathy L. Tilton","Karen Perry","Alaska",2016,"12","False",2061,"True",5597,"False",949,"female","female","Republican","female",0.239456256535378,0.65028465202742,0.110259091437202
"13","No candidate","Dan Saddler","No candidate","Alaska",2016,"13","False",0,"True",1,"0",0,"N/A","male","Republican","male",0,1,0
"14","No candidate","Lora Reinbold","Joe Hackenmueller","Alaska",2016,"14","False",0,"True",5733,"False",3882,"N/A","female","Republican","female",0,0.596255850234009,0.403744149765991
"15","Patrick M. McCormack","Gabrielle LeDoux","No candidate","Alaska",2016,"15","False",1344,"True",2834,"0",0,"male","female","Republican","female",0.321685016754428,0.678314983245572,0
"16","Ivy Spohnholz","Don Hadley","Ian Sharrock","Alaska",2016,"16","True",3367,"False",2740,"False",410,"female","male","Democrat","female",0.516648764769066,0.420438852232622,0.0629123829983121
"17","Andrew L. Josephson","No candidate","No candidate","Alaska",2016,"17","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"18","Harriet A. Drummond","Michael W. Gordon","No candidate","Alaska",2016,"18","True",3490,"False",2760,"0",0,"female","male","Democrat","female",0.5584,0.4416,0
"19","Geran Tarr","No candidate","No candidate","Alaska",2016,"19","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"20","Les S. Gara","No candidate","No candidate","Alaska",2016,"20","True",1,"False",0,"0",0,"male","N/A","Democrat","male",1,0,0
"21","Matt Claman","Marilyn Stewart","No candidate","Alaska",2016,"21","True",4145,"False",3767,"0",0,"male","female","Democrat","male",0.523887765419616,0.476112234580384,0
"22","No candidate","Liz Vazquez","Jason Grenn","Alaska",2016,"22","False",0,"True",3375,"False",4291,"N/A","female","Other","Other candidate",0,0.44025567440647,0.55974432559353
"23","Chris S. Tuck","Timothy R. Huit","No candidate","Alaska",2016,"23","True",3443,"False",2672,"0",0,"male","male","Democrat","male",0.563041700735895,0.436958299264105,0
"24","Sue Levi","Charles M. Kopp","No candidate","Alaska",2016,"24","False",3518,"False",5019,"0",0,"female","male","Republican","male",0.412088555698723,0.587911444301277,0
"25","Pat Higgins","Charisse E. Millett","No candidate","Alaska",2016,"25","False",3592,"True",3685,"0",0,"female","female","Republican","female",0.493610004122578,0.506389995877422,0
"26","David Gillespie","Chris Birch","No candidate","Alaska",2016,"26","False",2873,"False",5141,"0",0,"male","male","Republican","male",0.358497629148989,0.641502370851011,0
"27","Harry Crawford Jr.","Lance Pruitt","No candidate","Alaska",2016,"27","False",3929,"True",4086,"0",0,"male","male","Republican","male",0.490205864004991,0.509794135995009,0
