"","year","state","district","office","candidate","total_votes","vote_prop","gender","winner_party","candidate_party","race_ethnicity"
"1",2018,"Alabama","District 1","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"2",2018,"Alabama","District 1","State Senator","Caroline Self",15830,0.323252537215903,"female","Republican","Democrat","Missing"
"3",2018,"Alabama","District 10","State Representative","J.B. King",8565,0.409123477430141,"Unknown","Republican","Democrat","Missing"
"4",2018,"Alabama","District 10","State Senator","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"5",2018,"Alabama","District 100","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"6",2018,"Alabama","District 101","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"7",2018,"Alabama","District 102","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"8",2018,"Alabama","District 103","State Representative","Barbara Drummond",8818,1,"female","Democrat","Democrat","Black/African American"
"9",2018,"Alabama","District 104","State Representative","Arlene Cunningham Easley",4695,0.316225500101031,"female","Republican","Democrat","Missing"
"10",2018,"Alabama","District 105","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"11",2018,"Alabama","District 11","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"12",2018,"Alabama","District 11","State Senator","Carl Carter",11411,0.239711782870827,"male","Republican","Democrat","Missing"
"13",2018,"Alabama","District 12","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"14",2018,"Alabama","District 12","State Senator","Jim Williams",15010,0.353792485739876,"male","Republican","Democrat","Missing"
"15",2018,"Alabama","District 13","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"16",2018,"Alabama","District 13","State Senator","Darrell Turner",12839,0.288821901783907,"male","Republican","Democrat","Missing"
"17",2018,"Alabama","District 14","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"18",2018,"Alabama","District 14","State Senator","Jerry McDonald",13171,0.273688803923198,"male","Republican","Democrat","Missing"
"19",2018,"Alabama","District 15","State Representative","Suzanna Coleman",6951,0.328450597741341,"female","Republican","Democrat","Missing"
"20",2018,"Alabama","District 15","State Senator","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"21",2018,"Alabama","District 16","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"22",2018,"Alabama","District 16","State Senator","Lindsey Deckard",21851,0.370865085965478,"female","Republican","Democrat","Missing"
"23",2018,"Alabama","District 17","State Representative","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"24",2018,"Alabama","District 17","State Senator","No candidate",0,0,"N/A","Republican","Democrat","Missing"
"25",2018,"Alabama","District 18","State Representative","Eddie Britton",3886,0.283009249144272,"male","Republican","Democrat","Missing"
"26",2018,"Alabama","District 18","State Senator","Rodger M. Smitherman",39819,1,"male","Democrat","Democrat","Missing"
"27",2018,"Alabama","District 19","State Representative","Laura Hall",12675,1,"female","Democrat","Democrat","Black/African American"
"28",2018,"Alabama","District 19","State Senator","Priscilla Dunn",38668,1,"female","Democrat","Democrat","Black/African American"
"29",2018,"Alabama","District 2","State Representative","Lora Kay Morrow",4798,0.268735297412345,"female","Republican","Democrat","Missing"
"30",2018,"Alabama","District 2","State Senator","Amy Wasyluka",26911,0.456830990697359,"female","Republican","Democrat","Missing"
"31",2018,"Alabama","District 20","State Representative","Linda Meigs",8527,0.368878698736806,"female","Republican","Democrat","Missing"
"32",2018,"Alabama","District 20","State Senator","Linda Coleman-Madison",36478,1,"female","Democrat","Democrat","Black/African American"
"33",2018,"Alabama","District 21","State Representative","Terry Jones",8391,0.3866463920376,"male","Republican","Democrat","Missing"
"34",2018,"Alabama","District 21","State Senator","Rick Burnham",16005,0.324165029469548,"male","Republican","Democrat","Missing"
