"","state","district","office","candidate_republican","candidate_democrat","total_votes_republican","total_votes_democrat","gender_rep","gender_dem"
"1","Alabama","District 1","State Representative","Phillip Pettus","No candidate",7348,0,"male","N/A"
"2","Alabama","District 1","State Senator","Tim Melson","Caroline Self",33141,15830,"male","female"
"3","Alabama","District 10","State Representative","Mike Ball","J.B. King",11240,8565,"male","Unknown"
"4","Alabama","District 10","State Senator","Andrew Jones","No candidate",25902,0,"male","N/A"
"5","Alabama","District 100","State Representative","Victor Gaston","No candidate",12086,0,"male","N/A"
"6","Alabama","District 101","State Representative","Chris Pringle","No candidate",10274,0,"male","N/A"
"7","Alabama","District 102","State Representative","Shane Stringer","No candidate",11048,0,"male","N/A"
"8","Alabama","District 103","State Representative","No candidate","Barbara Drummond",0,8818,"N/A","female"
"9","Alabama","District 104","State Representative","Margie Wilcox","Arlene Cunningham Easley",10152,4695,"female","female"
"10","Alabama","District 105","State Representative","Chip Brown","No candidate",10176,0,"male","N/A"
"11","Alabama","District 11","State Representative","Randall Shedd","No candidate",13098,0,"male","N/A"
"12","Alabama","District 11","State Senator","Jim McClendon","Carl Carter",36192,11411,"male","male"
"13","Alabama","District 12","State Representative","Corey Harbison","No candidate",14687,0,"male","N/A"
"14","Alabama","District 12","State Senator","Del Marsh","Jim Williams",27416,15010,"male","male"
"15","Alabama","District 13","State Representative","Connie Cooner Rowe","No candidate",13755,0,"female","N/A"
"16","Alabama","District 13","State Senator","Randy Price","Darrell Turner",31614,12839,"male","male"
"17","Alabama","District 14","State Representative","Tim Wadsworth","No candidate",13394,0,"male","N/A"
"18","Alabama","District 14","State Senator","Cam Ward","Jerry McDonald",34953,13171,"male","male"
"19","Alabama","District 15","State Representative","Allen Farley","Suzanna Coleman",14212,6951,"male","female"
"20","Alabama","District 15","State Senator","Dan Roberts","No candidate",44792,0,"male","N/A"
"21","Alabama","District 16","State Representative","Kyle South","No candidate",14681,0,"male","N/A"
"22","Alabama","District 16","State Senator","J.T. ""Jabo"" Waggoner","Lindsey Deckard",37068,21851,"Unknown","female"
"23","Alabama","District 17","State Representative","Tracy Estes","No candidate",12158,0,"female","N/A"
"24","Alabama","District 17","State Senator","Shay Shelnutt","No candidate",45964,0,"female","N/A"
