"","X","state","district","office","candidate_other","candidate_republican","candidate_democrat","total_votes_other","total_votes_republican","total_votes_democrat","vote_share_dem","vote_share_rep","vote_share_other","winner_party","gender_democrat","gender_republican","winner_gender","year"
"1",1,"Alabama","District 1","State Representative","Bobby James Dolan III","Phillip Pettus","No candidate",4336,7348,0,0,0.628894214310168,0.371105785689832,"Republican","N/A","male","male",2018
"2",2,"Alabama","District 1","State Senator","No candidate","Tim Melson","Caroline Self",0,33141,15830,0.323252537215903,0.676747462784097,0,"Republican","female","male","male",2018
"3",3,"Alabama","District 10","State Representative","Elijah J. Boyd","Mike Ball","J.B. King",1130,11240,8565,0.409123477430141,0.536899928349654,0.0539765942202054,"Republican","Unknown","male","male",2018
"4",4,"Alabama","District 10","State Senator","Craig Ford","Andrew Jones","No candidate",16759,25902,0,0,0.607158763273247,0.392841236726753,"Republican","N/A","male","male",2018
"5",5,"Alabama","District 100","State Representative","No candidate","Victor Gaston","No candidate",0,12086,0,0,1,0,"Republican","N/A","male","male",2018
"6",6,"Alabama","District 101","State Representative","No candidate","Chris Pringle","No candidate",0,10274,0,0,1,0,"Republican","N/A","male","male",2018
"7",7,"Alabama","District 102","State Representative","No candidate","Shane Stringer","No candidate",0,11048,0,0,1,0,"Republican","N/A","male","male",2018
"8",8,"Alabama","District 103","State Representative","No candidate","No candidate","Barbara Drummond",0,0,8818,1,0,0,"Democrat","female","N/A","female",2018
"9",9,"Alabama","District 104","State Representative","No candidate","Margie Wilcox","Arlene Cunningham Easley",0,10152,4695,0.316225500101031,0.683774499898969,0,"Republican","female","female","female",2018
"10",10,"Alabama","District 105","State Representative","No candidate","Chip Brown","No candidate",0,10176,0,0,1,0,"Republican","N/A","male","male",2018
"11",11,"Alabama","District 11","State Representative","No candidate","Randall Shedd","No candidate",0,13098,0,0,1,0,"Republican","N/A","male","male",2018
"12",12,"Alabama","District 11","State Senator","No candidate","Jim McClendon","Carl Carter",0,36192,11411,0.239711782870827,0.760288217129172,0,"Republican","male","male","male",2018
"13",13,"Alabama","District 12","State Representative","No candidate","Corey Harbison","No candidate",0,14687,0,0,1,0,"Republican","N/A","male","male",2018
"14",14,"Alabama","District 12","State Senator","No candidate","Del Marsh","Jim Williams",0,27416,15010,0.353792485739876,0.646207514260123,0,"Republican","male","male","male",2018
"15",15,"Alabama","District 13","State Representative","No candidate","Connie Cooner Rowe","No candidate",0,13755,0,0,1,0,"Republican","N/A","female","female",2018
"16",16,"Alabama","District 13","State Senator","No candidate","Randy Price","Darrell Turner",0,31614,12839,0.288821901783907,0.711178098216093,0,"Republican","male","male","male",2018
"17",17,"Alabama","District 14","State Representative","No candidate","Tim Wadsworth","No candidate",0,13394,0,0,1,0,"Republican","N/A","male","male",2018
"18",18,"Alabama","District 14","State Senator","No candidate","Cam Ward","Jerry McDonald",0,34953,13171,0.273688803923198,0.726311196076802,0,"Republican","male","male","male",2018
"19",19,"Alabama","District 15","State Representative","No candidate","Allen Farley","Suzanna Coleman",0,14212,6951,0.328450597741341,0.671549402258659,0,"Republican","female","male","male",2018
"20",20,"Alabama","District 15","State Senator","No candidate","Dan Roberts","No candidate",0,44792,0,0,1,0,"Republican","N/A","male","male",2018
"21",21,"Alabama","District 16","State Representative","No candidate","Kyle South","No candidate",0,14681,0,0,1,0,"Republican","N/A","male","male",2018
"22",22,"Alabama","District 16","State Senator","No candidate","J.T. ""Jabo"" Waggoner","Lindsey Deckard",0,37068,21851,0.370865085965478,0.629134914034522,0,"Republican","female","Unknown","Unknown",2018
"23",23,"Alabama","District 17","State Representative","No candidate","Tracy Estes","No candidate",0,12158,0,0,1,0,"Republican","N/A","female","female",2018
"24",24,"Alabama","District 17","State Senator","No candidate","Shay Shelnutt","No candidate",0,45964,0,0,1,0,"Republican","N/A","female","female",2018
"25",25,"Alabama","District 18","State Representative","No candidate","Jamie Kiel","Eddie Britton",0,9845,3886,0.283009249144272,0.716990750855728,0,"Republican","male","female","female",2018
"26",26,"Alabama","District 18","State Senator","No candidate","No candidate","Rodger M. Smitherman",0,0,39819,1,0,0,"Democrat","male","N/A","male",2018
"27",27,"Alabama","District 19","State Representative","No candidate","No candidate","Laura Hall",0,0,12675,1,0,0,"Democrat","female","N/A","female",2018
"28",28,"Alabama","District 19","State Senator","No candidate","No candidate","Priscilla Dunn",0,0,38668,1,0,0,"Democrat","female","N/A","female",2018
"29",29,"Alabama","District 2","State Representative","No candidate","Lynn Greer","Lora Kay Morrow",0,13056,4798,0.268735297412345,0.731264702587655,0,"Republican","female","female","female",2018
"30",30,"Alabama","District 2","State Senator","No candidate","Tom Butler","Amy Wasyluka",0,31997,26911,0.456830990697359,0.543169009302641,0,"Republican","female","male","male",2018
"31",31,"Alabama","District 20","State Representative","No candidate","Howard Sanderford","Linda Meigs",0,14589,8527,0.368878698736806,0.631121301263194,0,"Republican","female","male","male",2018
"32",32,"Alabama","District 20","State Senator","No candidate","No candidate","Linda Coleman-Madison",0,0,36478,1,0,0,"Democrat","female","N/A","female",2018
"33",33,"Alabama","District 21","State Representative","No candidate","Rex Reynolds","Terry Jones",0,13311,8391,0.3866463920376,0.6133536079624,0,"Republican","male","male","male",2018
"34",34,"Alabama","District 21","State Senator","No candidate","Gerald Allen","Rick Burnham",0,33368,16005,0.324165029469548,0.675834970530452,0,"Republican","male","male","male",2018
"35",35,"Alabama","District 22","State Representative","No candidate","Ritchie Whorton","No candidate",0,13929,0,0,1,0,"Republican","N/A","male","male",2018
"36",36,"Alabama","District 22","State Senator","No candidate","Greg Albritton","No candidate",0,34507,0,0,1,0,"Republican","N/A","male","male",2018
"37",37,"Alabama","District 23","State Representative","No candidate","Tommy Hanes","No candidate",0,10823,0,0,1,0,"Republican","N/A","male","male",2018
"38",38,"Alabama","District 23","State Senator","Mark Story","No candidate","Malika Sanders-Fortier",15379,0,29920,0.660500231793196,0,0.339499768206804,"Democrat","female","N/A","female",2018
"39",39,"Alabama","District 24","State Representative","No candidate","Nathaniel Ledbetter","No candidate",0,12394,0,0,1,0,"Republican","N/A","male","male",2018
"40",40,"Alabama","District 24","State Senator","No candidate","No candidate","Bobby Singleton",0,0,37394,1,0,0,"Democrat","male","N/A","male",2018
"41",41,"Alabama","District 25","State Representative","No candidate","Mac McCutcheon","No candidate",0,14974,0,0,1,0,"Republican","N/A","male","male",2018
"42",42,"Alabama","District 25","State Senator","No candidate","Will Barfoot","David A. Sadler",0,33029,20866,0.387160218944243,0.612839781055757,0,"Republican","male","male","male",2018
"43",43,"Alabama","District 26","State Representative","No candidate","Kerry Rich","No candidate",0,8948,0,0,1,0,"Republican","N/A","female","female",2018
"44",44,"Alabama","District 26","State Senator","No candidate","D. J. Johnson","David ""Coach"" Burkette",0,7863,31973,0.802615724470328,0.197384275529672,0,"Democrat","male","Unknown","male",2018
"45",45,"Alabama","District 27","State Representative","No candidate","Wes Kitchens","No candidate",0,13245,0,0,1,0,"Republican","N/A","male","male",2018
"46",46,"Alabama","District 27","State Senator","No candidate","Tom Whatley","Nancy Carlton Bendinger",0,29741,20586,0.409044846702565,0.590955153297435,0,"Republican","female","male","male",2018
"47",47,"Alabama","District 28","State Representative","No candidate","Gil F. Isbell","Kyle Pierce",0,7091,5731,0.446966151926377,0.553033848073623,0,"Republican","male","male","male",2018
