"","state","district","candidate","gender","total_votes","vote_share","winner_party","winner_gender","pres_winner","flip","year","party"
"1","AK",0,"Alyse S. Galvin","female",131199,0.464970974532722,"Republican","male","Trump",FALSE,2018,"Democrat"
"2","AL",1,"Robert Kennedy Jr.","male",89226,0.36776483098876,"Republican","male","Trump",FALSE,2018,"Democrat"
"3","AL",2,"Tabitha Isner","female",86931,0.384259382044822,"Republican","female","Trump",FALSE,2018,"Democrat"
"4","AL",3,"Mallory Hagan","female",83996,0.362184421016321,"Republican","male","Trump",FALSE,2018,"Democrat"
"5","AL",4,"Lee Auman","male",46492,0.201291082353043,"Republican","male","Trump",FALSE,2018,"Democrat"
"6","AL",6,"Danner Kline","male",85644,0.307708890230232,"Republican","male","Trump",FALSE,2018,"Democrat"
"7","AL",7,"Terri Sewell","female",185010,0.978045389426051,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"8","AR",1,"Chintan Desai","male",57907,0.287743794876891,"Republican","male","Trump",FALSE,2018,"Democrat"
"9","AR",2,"Clarke Tucker","male",116135,0.458211187083996,"Republican","male","Trump",FALSE,2018,"Democrat"
"10","AR",3,"Josh Mahony","male",74952,0.326292510491581,"Republican","male","Trump",FALSE,2018,"Democrat"
"11","AR",4,"Hayden Catherine Shamel","male",63984,0.31228159225348,"Republican","male","Trump",FALSE,2018,"Democrat"
"12","AZ",1,"Tom O'Halleran","male",143240,0.538316127310787,"Democrat","male","Trump",TRUE,2018,"Democrat"
"13","AZ",2,"Ann Kirkpatrick","female",161000,0.54733607114689,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"14","AZ",3,"Raul Grijalva","male",114650,0.638654619592464,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"15","AZ",4,"David Brill","male",84521,0.305091414442218,"Republican","male","Trump",FALSE,2018,"Democrat"
"16","AZ",5,"Joan Greene","female",127027,0.405754095009327,"Republican","male","Trump",FALSE,2018,"Democrat"
"17","AZ",6,"Anita Malik","female",140559,0.448069646380766,"Republican","male","Trump",FALSE,2018,"Democrat"
"18","AZ",7,"Ruben Gallego","male",113044,0.85606318770778,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"19","AZ",8,"Hiral Tipirneni","female",135569,0.44533978062986,"Republican","female","Trump",FALSE,2018,"Democrat"
"20","AZ",9,"Greg Stanton","male",159583,0.610855710157132,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"21","CA",1,"Audrey Denney","female",263096,0.451134111127115,"Republican","male","Trump",FALSE,2018,"Democrat"
"22","CA",10,"Josh Harder","male",231890,0.522510139702569,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"23","CA",11,"Mark DeSaulnier","male",408738,0.741324211679441,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"24","CA",12,"Nancy Pelosi","female",550584,0.868231821163647,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"25","CA",13,"Barbara Lee","female",521160,0.883810376580958,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"26","CA",14,"Jackie Speier","female",422768,0.792225557766759,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"27","CA",15,"Eric Swalwell","male",355978,0.729675438344764,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"28","CA",16,"Jim Costa","male",164532,0.575451702935807,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"29","CA",17,"Ro Khanna","Unknown",318210,0.753473636355026,"Democrat","Unknown","Clinton",FALSE,2018,"Democrat"
"30","CA",18,"Anna G. Eshoo","female",450284,0.744916258048293,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"31","CA",19,"Zoe Lofgren","female",324992,0.737548736150763,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"32","CA",2,"Jared Huffman","male",486162,0.770079548370541,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"33","CA",20,"Jimmy Panetta","male",367354,0.813734654728625,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"34","CA",21,"TJ Cox","male",114478,0.503793479791579,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"35","CA",22,"Andrew Janz","male",210272,0.472778454800139,"Republican","male","Trump",FALSE,2018,"Democrat"
"36","CA",23,"Tatiana Matta","female",149322,0.362830095152935,"Republican","male","Trump",FALSE,2018,"Democrat"
"37","CA",24,"Salud Carbajal","female",333100,0.58555502037401,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"38","CA",25,"Katie Hill","female",266418,0.54366138550824,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"39","CA",26,"Julia Brownley","female",316432,0.619420106018964,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"40","CA",27,"Bryan Witt","male",84264,0.207919619416096,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"41","CA",27,"Judy Chu","female",321008,0.792080380583904,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"42","CA",28,"Adam B. Schiff","male",393324,0.783720021997816,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"43","CA",29,"Tony Cardenas","male",249394,0.8060985700618,"Democrat","male","Clinton",FALSE,2018,"Democrat"
