id,year,first_name,middle_name,last_name,party,level,position,state,district,race_ethnicity
566417k,2017,Kim,K.,Abbott,Democrat,"State Legislative","State Representative","Montana - MT",83,White
566417k,2018,Kim,K.,Abbott,Democrat,"State Legislative","State Representative","Montana - MT",83,White
566417k,2019,Kim,K.,Abbott,Democrat,"State Legislative","State Representative","Montana - MT",83,White
566417k,2020,Kim,K.,Abbott,Democrat,"State Legislative","State Representative","Montana - MT",83,White
14772c,2010,Robin,A.,Abbott,Democrat,"State Legislative","State Representative","Virginia - VA",93,White
14772c,2011,Robin,A.,Abbott,Democrat,"State Legislative","State Representative","Virginia - VA",93,White
11954c,2008,Roberta,,Abdul-Salaam,Democrat,"State Legislative","State Representative","Georgia - GA",74,"Black/African American"
11954c,2009,Roberta,,Abdul-Salaam,Democrat,"State Legislative","State Representative","Georgia - GA",74,"Black/African American"
11954c,2010,Roberta,,Abdul-Salaam,Democrat,"State Legislative","State Representative","Georgia - GA",74,"Black/African American"
11954c,2011,Roberta,,Abdul-Salaam,Democrat,"State Legislative","State Representative","Georgia - GA",74,"Black/African American"
11954c,2012,Roberta,,Abdul-Salaam,Democrat,"State Legislative","State Representative","Georgia - GA",74,"Black/African American"
15575c,2013,Theresa,,Abed,Democrat,"State Legislative","State Representative","Michigan - MI",71,White
15575c,2014,Theresa,,Abed,Democrat,"State Legislative","State Representative","Michigan - MI",71,White
232646k,2008,Catherine,F.,Abercrombie,Democrat,"State Legislative","State Representative","Connecticut - CT",83,White
232646k,2009,Catherine,F.,Abercrombie,Democrat,"State Legislative","State Representative","Connecticut - CT",83,White
232646k,2010,Catherine,F.,Abercrombie,Democrat,"State Legislative","State Representative","Connecticut - CT",83,White
232646k,2011,Catherine,F.,Abercrombie,Democrat,"State Legislative","State Representative","Connecticut - CT",83,White
232646k,2012,Catherine,F.,Abercrombie,Democrat,"State Legislative","State Representative","Connecticut - CT",83,White
232646k,2013,Catherine,F.,Abercrombie,Democrat,"State Legislative","State Representative","Connecticut - CT",83,White
232646k,2014,Catherine,F.,Abercrombie,Democrat,"State Legislative","State Representative","Connecticut - CT",83,White
232646k,2015,Catherine,F.,Abercrombie,Democrat,"State Legislative","State Representative","Connecticut - CT",83,White
232646k,2016,Catherine,F.,Abercrombie,Democrat,"State Legislative","State Representative","Connecticut - CT",83,White
232646k,2017,Catherine,F.,Abercrombie,Democrat,"State Legislative","State Representative","Connecticut - CT",83,White
232646k,2018,Catherine,F.,Abercrombie,Democrat,"State Legislative","State Representative","Connecticut - CT",83,White
232646k,2019,Catherine,F.,Abercrombie,Democrat,"State Legislative","State Representative","Connecticut - CT",83,White
232646k,2020,Catherine,F.,Abercrombie,Democrat,"State Legislative","State Representative","Connecticut - CT",83,White
12465c,2008,Paula,,Aboud,Democrat,"State Legislative","State Senator","Arizona - AZ",28,White
12465c,2009,Paula,,Aboud,Democrat,"State Legislative","State Senator","Arizona - AZ",28,White
12465c,2010,Paula,,Aboud,Democrat,"State Legislative","State Senator","Arizona - AZ",28,White
12465c,2011,Paula,,Aboud,Democrat,"State Legislative","State Senator","Arizona - AZ",28,White
12465c,2012,Paula,,Aboud,Democrat,"State Legislative","State Senator","Arizona - AZ",28,White
720595k,2019,Cindy,,Abrams,Republican,"State Legislative","State Representative","Ohio - OH",29,White
720595k,2020,Cindy,,Abrams,Republican,"State Legislative","State Representative","Ohio - OH",29,White
662245k,2019,Mary,Daugherty,Abrams,Democrat,"State Legislative","State Senator","Connecticut - CT",13,White
662245k,2020,Mary,Daugherty,Abrams,Democrat,"State Legislative","State Senator","Connecticut - CT",13,White
249176k,2008,Stacey,Y.,Abrams,Democrat,"State Legislative","State Representative","Georgia - GA",89,"Black/African American"
249176k,2009,Stacey,Y.,Abrams,Democrat,"State Legislative","State Representative","Georgia - GA",89,"Black/African American"
249176k,2010,Stacey,Y.,Abrams,Democrat,"State Legislative","State Representative","Georgia - GA",89,"Black/African American"
249176k,2011,Stacey,Y.,Abrams,Democrat,"State Legislative","State Representative","Georgia - GA",89,"Black/African American"
249176k,2012,Stacey,Y.,Abrams,Democrat,"State Legislative","State Representative","Georgia - GA",89,"Black/African American"
