CD,Incumbent,Party,Clinton,Trump,Winner,,,
AK-AL,"Young, Don",(R),37.6,52.8,Trump,,,
AL-01,"Byrne, Bradley",(R),34.1,63.5,Trump,,,
AL-02,"Roby, Martha",(R),33.0,64.9,Trump,,,
AL-03,"Rogers, Mike",(R),32.3,65.3,Trump,,,
AL-04,"Aderholt, Rob",(R),17.4,80.4,Trump,,,
AL-05,"Brooks, Mo",(R),31.3,64.7,Trump,,,
AL-06,"Palmer, Gary",(R),26.1,70.8,Trump,,,
AL-07,"Sewell, Terri",(D),69.8,28.6,Clinton,,,
AR-01,"Crawford, Rick",(R),30.2,65.0,Trump,,,
AR-02,"Hill, French",(R),41.7,52.4,Trump,,,
AR-03,"Womack, Steve",(R),30.5,61.9,Trump,,,
AR-04,"Westerman, Bruce",(R),31.3,64.2,Trump,,,
AZ-01,"O'Halleran, Tom",(D),46.6,47.7,Trump,,,
AZ-02,"McSally, Martha",(R),49.6,44.7,Clinton,,,
AZ-03,"Grijalva, Raul",(D),62.4,32.5,Clinton,,,
AZ-04,"Gosar, Paul",(R),27.5,67.7,Trump,,,
AZ-05,"Biggs, Andy",(R),36.5,57.6,Trump,,,
AZ-06,"Schweikert, David",(R),42.4,52.4,Trump,,,
AZ-07,"Gallego, Ruben",(D),71.8,22.6,Clinton,,,
AZ-08,"Lesko, Debbie",(R),37.0,58.1,Trump,,,
AZ-09,"Sinema, Kyrsten",(D),54.7,38.4,Clinton,,,
CA-01,"LaMalfa, Doug",(R),36.5,56.2,Trump,,,
CA-02,"Huffman, Jared",(D),69.0,23.3,Clinton,,,
CA-03,"Garamendi, John",(D),53.0,40.4,Clinton,,,
CA-04,"McClintock, Tom",(R),39.3,54.0,Trump,,,
CA-05,"Thompson, Mike",(D),69.2,24.3,Clinton,,,
CA-06,"Matsui, Doris",(D),69.2,24.4,Clinton,,,
CA-07,"Bera, Ami",(D),52.3,40.9,Clinton,,,
CA-08,"Cook, Paul",(R),39.6,54.7,Trump,,,
CA-09,"McNerney, Jerry",(D),56.6,38.0,Clinton,,,
CA-10,"Denham, Jeff",(R),48.5,45.5,Clinton,,,
CA-11,"DeSaulnier, Mark",(D),71.5,22.7,Clinton,,,
CA-12,"Pelosi, Nancy",(D),86.2,8.7,Clinton,,,
CA-13,"Lee, Barbara",(D),87.4,6.8,Clinton,,,
CA-14,"Speier, Jackie",(D),76.9,18.2,Clinton,,,
CA-15,"Swalwell, Eric",(D),69.9,24.2,Clinton,,,
CA-16,"Costa, Jim",(D),58.0,36.4,Clinton,,,
CA-17,"Khanna, Ro",(D),73.9,20.5,Clinton,,,
CA-18,"Eshoo, Anna",(D),73.4,20.2,Clinton,,,
CA-19,"Lofgren, Zoe",(D),72.9,21.5,Clinton,,,
CA-20,"Panetta, Jimmy",(D),70.4,23.2,Clinton,,,
CA-21,"Valadao, David",(R),55.2,39.7,Clinton,,,
CA-22,"Nunes, Devin",(R),42.6,52.1,Trump,,,
CA-23,"McCarthy, Kevin",(R),36.1,58.1,Trump,,,
CA-24,"Carbajal, Salud",(D),56.7,36.5,Clinton,,,
