state,Tot_seats_in_state_leg
Alabama - AL,140
Alaska - AK,60
Arizona - AZ,90
Arkansas - AR,135
California - CA,120
Colorado - CO,100
Connecticut - CT,187
Delaware - DE,62
Florida - FL,160
Georgia - GA,236
Hawaii - HI,76
Idaho - ID,105
Illinois - IL,177
Indiana - IN,150
Iowa - IA,150
Kansas - KS,165
Kentucky - KY,138
Louisiana - LA,144
Maine - ME,186
Maryland - MD,188
Massachusetts - MA,200
Michigan - MI,148
Minnesota - MN,201
Mississippi - MS,174
Missouri - MO,197
Montana - MT,150
Nebraska - NE,49
Nevada - NV,63
New Hampshire - NH,424
New Jersey - NJ,120
New Mexico - NM,112
New York - NY,213
North Carolina - NC,170
North Dakota - ND,141
Ohio - OH,132
Oklahoma - OK,149
Oregon - OR,90
Pennsylvania - PA,253
Rhode Island - RI,113
South Carolina - SC,170
South Dakota - SD,105
Tennessee - TN,132
Texas - TX,181
Utah - UT,104
Vermont - VT,180
Virginia - VA,140
Washington - WA,147
West Virginia - WV,134
Wisconsin - WI,132
Wyoming - WY,90
